NOVANAID	XUTM	YUTM	DEPTH	PEJL	DATO	BERELAG	ID
104.2190_1	498971.0	6186450.0	8.5	39.240000000000002	01-07-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.989999999999998	01-07-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.229999999999997	01-07-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.039999999999999	01-07-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	44.039999999999999	01-07-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	61.990000000000002	01-08-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	61.890000000000001	01-08-2000		95.1919_1
114.1618_6	498159.59	6180672.07	2.5	42.430000000000000	01-08-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.090000000000000	01-08-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.230000000000004	01-08-2000		105.374_1
104.2190_1	498971.0	6186450.0	8.5	39.170000000000002	01-08-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.850000000000001	01-08-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.049999999999997	01-08-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.509999999999998	01-08-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	43.509999999999998	01-08-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	61.939999999999998	01-09-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	61.840000000000003	01-09-2000		95.1919_1
94.2476_5	480001.0	6204604.0	14.5	19.940000000000001	01-09-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.949999999999999	01-09-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.960000000000001	01-09-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.960000000000001	01-09-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.980000000000000	01-09-2000		94.2476_1
115.1373_1	524620.0	6182075.0	30.25	73.849999999999994	01-09-2000		115.1373_1
114.1618_6	498159.59	6180672.07	2.5	42.310000000000002	01-09-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.020000000000000	01-09-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.209999999999994	01-09-2000		105.374_1
104.2464_1	499736.0	6185729.0	7.65	42.020000000000003	01-09-2000		104.2464_1
104.2463_1	499655.0	6185546.0	5.65	42.259999999999998	01-09-2000		104.2463_1
104.2462_1	499572.0	6185364.0	5.65	42.520000000000003	01-09-2000		104.2462_1
104.2461_1	499553.0	6185810.0	7.65	41.789999999999999	01-09-2000		104.2461_1
104.2460_1	499472.0	6185628.0	7.65	41.869999999999997	01-09-2000		104.2460_1
104.2459_1	499390.0	6185445.0	3.65	41.659999999999997	01-09-2000		104.2459_1
104.2190_1	498971.0	6186450.0	8.5	39.200000000000003	01-09-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.770000000000000	01-09-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.890000000000001	01-09-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.359999999999999	01-09-2000		102.725_1
94.1920_2	474088.43	6208806.96	17.15	34.250000000000000	01-10-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	39.600000000000001	01-10-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	42.310000000000002	01-10-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.180000000000000	01-10-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.250000000000000	01-10-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.829999999999998	01-10-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.740000000000002	01-10-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.219999999999999	01-10-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	62.039999999999999	01-11-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	61.990000000000002	01-11-2000		95.1919_1
114.1618_6	498159.59	6180672.07	2.5	42.329999999999998	01-11-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.340000000000000	01-11-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.010000000000005	01-11-2000		105.374_1
104.2190_1	498971.0	6186450.0	8.5	39.420000000000002	01-11-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.949999999999999	01-11-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.600000000000001	01-11-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.180000000000000	01-11-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	43.130000000000003	01-11-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	62.740000000000002	01-12-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	62.689999999999998	01-12-2000		95.1919_1
114.1618_6	498159.59	6180672.07	2.5	43.240000000000002	01-12-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.920000000000002	01-12-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.030000000000001	01-12-2000		105.374_1
103.1542_1	491213.0	6186460.0	6.5	29.480000000000000	01-12-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.619999999999997	01-12-2000		102.873_1
94.2476_5	480001.0	6204604.0	14.5	18.770000000000000	02-01-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	18.789999999999999	02-01-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	18.770000000000000	02-01-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	18.760000000000002	02-01-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	18.760000000000002	02-01-2000		94.2476_1
94.1920_2	474088.43	6208806.96	17.15	35.899999999999999	02-01-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	41.399999999999999	02-01-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	43.939999999999998	02-01-2000		114.1618_6
114.1618_6	498159.59	6180672.07	2.5	43.930000000000000	02-01-2000		114.1618_6
104.2190_1	498971.0	6186450.0	8.5	39.950000000000003	02-01-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.829999999999998	02-01-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.909999999999997	02-01-2000		102.873_1
102.873_1	473187.16	6185044.93	27.5	42.909999999999997	02-01-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.859999999999999	02-01-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	44.070000000000000	02-02-2000		114.1618_6
114.1457_1	499523.0	6180315.0	10.22	45.840000000000003	02-02-2000		114.1457_1
114.1444_1	498964.0	6180352.0	6.25	45.219999999999999	02-02-2000		114.1444_1
114.1443_1	498963.0	6180352.0	9.4	45.219999999999999	02-02-2000		114.1443_1
114.1442_1	498963.0	6180352.0	18.25	45.219999999999999	02-02-2000		114.1442_1
104.2190_1	498971.0	6186450.0	8.5	40.049999999999997	02-02-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	40.049999999999997	02-02-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.899999999999999	02-02-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.090000000000003	02-02-2000		102.725_1
94.2476_5	480001.0	6204604.0	14.5	19.829999999999998	02-03-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.829999999999998	02-03-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.809999999999999	02-03-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.800000000000001	02-03-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.809999999999999	02-03-2000		94.2476_1
114.1618_6	498159.59	6180672.07	2.5	44.149999999999999	02-03-2000		114.1618_6
103.1542_1	491213.0	6186460.0	6.5	29.920000000000002	02-03-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.380000000000003	02-03-2000		102.725_1
103.1542_1	491213.0	6186460.0	6.5	29.579999999999998	02-04-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.329999999999998	02-04-2000		102.725_1
113.111_1	488011.0	6181004.0	21.5	28.680000000000000	02-05-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.370000000000005	02-05-2000		105.374_1
104.2190_1	498971.0	6186450.0	8.5	39.710000000000001	02-05-2000		104.2190_1
102.725_1	472919.12	6184930.64	87.5	44.939999999999998	02-05-2000		102.725_1
94.2476_5	480001.0	6204604.0	14.5	19.949999999999999	02-06-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.940000000000001	02-06-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.920000000000002	02-06-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.930000000000000	02-06-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.930000000000000	02-06-2000		94.2476_1
113.111_1	488011.0	6181004.0	21.5	28.480000000000000	02-06-2000		113.111_1
105.374_1	525476.16	6199845.5	20.0	78.280000000000001	02-06-2000		105.374_1
104.2315_1	509582.0	6199414.0	7.0	48.329999999999998	02-06-2000		104.2315_1
103.1542_1	491213.0	6186460.0	6.5	29.160000000000000	02-06-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.399999999999999	02-06-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.479999999999997	02-06-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	44.460000000000001	02-06-2000		102.725_1
94.1920_2	474088.43	6208806.96	17.15	35.299999999999997	02-07-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	40.350000000000001	02-07-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	42.780000000000001	02-07-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.250000000000000	02-07-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.250000000000000	02-07-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.980000000000000	02-07-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.219999999999999	02-07-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.020000000000003	02-07-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	42.460000000000001	02-08-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.090000000000000	02-08-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.149999999999999	02-08-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.850000000000001	02-08-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.049999999999997	02-08-2000		102.873_1
114.1618_6	498159.59	6180672.07	2.5	42.310000000000002	02-09-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.030000000000001	02-09-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.200000000000003	02-09-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.760000000000002	02-09-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.890000000000001	02-09-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.380000000000003	02-09-2000		102.725_1
96.1974_4	518122.85	6203704.57	14.81	63.509999999999998	02-10-2000		96.1974_4
96.1974_3	518122.85	6203704.57	19.065	63.509999999999998	02-10-2000		96.1974_3
96.1974_2	518122.85	6203704.57	23.265	63.509999999999998	02-10-2000		96.1974_2
96.1833_1	521526.29	6202082.12	30.5	65.140000000000001	02-10-2000		96.1833_1
114.1618_6	498159.59	6180672.07	2.5	42.310000000000002	02-10-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.170000000000002	02-10-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.250000000000000	02-10-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	39.240000000000002	02-10-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.829999999999998	02-10-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.740000000000002	02-10-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.219999999999999	02-10-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	42.399999999999999	02-11-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.410000000000000	02-11-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.469999999999999	02-11-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.000000000000000	02-11-2000		103.1542_1
103.1406_2	473628.64	6185460.55	19.75	40.530000000000001	02-11-2000		103.1406_2
103.1406_1	473628.64	6185460.55	69.5	40.530000000000001	02-11-2000		103.1406_1
102.873_1	473187.16	6185044.93	27.5	42.590000000000003	02-11-2000		102.873_1
94.2476_5	480001.0	6204604.0	14.5	19.780000000000001	02-12-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.780000000000001	02-12-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.789999999999999	02-12-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.800000000000001	02-12-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.789999999999999	02-12-2000		94.2476_1
94.1920_2	474088.43	6208806.96	17.15	35.700000000000003	02-12-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	41.200000000000003	02-12-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	43.240000000000002	02-12-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.920000000000002	02-12-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.630000000000003	02-12-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	39.630000000000003	02-12-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.480000000000000	02-12-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.630000000000003	02-12-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.100000000000001	02-12-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	44.079999999999998	02-12-2000		102.725_1
105.374_1	525476.16	6199845.5	20.0	77.930000000000007	03-01-2000		105.374_1
104.2190_1	498971.0	6186450.0	8.5	39.969999999999999	03-01-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	39.960000000000001	03-01-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.829999999999998	03-01-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.930000000000000	03-01-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.909999999999997	03-01-2000		102.725_1
95.2612_1	503059.0	6211153.0	2.9	39.320000000000000	03-02-2000		95.2612_1
94.2476_5	480001.0	6204604.0	14.5	19.780000000000001	03-02-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.789999999999999	03-02-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.780000000000001	03-02-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.760000000000002	03-02-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.760000000000002	03-02-2000		94.2476_1
114.1618_6	498159.59	6180672.07	2.5	43.990000000000002	03-02-2000		114.1618_6
114.1440_1	498651.0	6181306.0	8.75	44.380000000000003	03-02-2000		114.1440_1
114.1439_1	498651.0	6181306.0	12.25	44.460000000000001	03-02-2000		114.1439_1
114.1437_1	497839.0	6181089.0	5.37	43.420000000000002	03-02-2000		114.1437_1
103.1542_1	491213.0	6186460.0	6.5	29.870000000000001	03-02-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.090000000000003	03-02-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	44.200000000000003	03-03-2000		114.1618_6
104.2190_1	498971.0	6186450.0	8.5	40.170000000000002	03-03-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	40.149999999999999	03-03-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	30.020000000000000	03-03-2000		103.1542_1
103.1542_1	491213.0	6186460.0	6.5	30.020000000000000	03-03-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.399999999999999	03-03-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	43.770000000000003	03-04-2000		114.1618_6
105.374_1	525476.16	6199845.5	20.0	78.379999999999995	03-04-2000		105.374_1
105.1740_1	520901.98	6196590.09	91.3	62.189999999999998	03-04-2000		105.1740_1
104.2190_1	498971.0	6186450.0	8.5	39.899999999999999	03-04-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.579999999999998	03-04-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.310000000000002	03-04-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	43.490000000000002	03-05-2000		114.1618_6
114.1618_6	498159.59	6180672.07	2.5	43.490000000000002	03-05-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.680000000000000	03-05-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.700000000000003	03-05-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	39.700000000000003	03-05-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.329999999999998	03-05-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	44.920000000000002	03-05-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	62.490000000000002	03-06-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	62.439999999999998	03-06-2000		95.1919_1
114.1618_6	498159.59	6180672.07	2.5	43.079999999999998	03-06-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.480000000000000	03-06-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.490000000000002	03-06-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.149999999999999	03-06-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.390000000000001	03-06-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	44.450000000000003	03-06-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	42.780000000000001	03-07-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.230000000000000	03-07-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.270000000000003	03-07-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.969999999999999	03-07-2000		103.1542_1
103.1542_1	491213.0	6186460.0	6.5	28.969999999999999	03-07-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.210000000000001	03-07-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.990000000000002	03-07-2000		102.725_1
114.1618_6	498159.59	6180672.07	2.5	42.460000000000001	03-08-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.090000000000000	03-08-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.070000000000000	03-08-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.850000000000001	03-08-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.039999999999999	03-08-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.520000000000003	03-08-2000		102.725_1
102.725_1	472919.12	6184930.64	87.5	43.509999999999998	03-08-2000		102.725_1
102.175_1	465424.0	6195419.0	49.0	6.040000000000000	03-08-2000		102.175_1
114.1618_6	498159.59	6180672.07	2.5	42.299999999999997	03-09-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.039999999999999	03-09-2000		113.111_1
104.2190_1	498971.0	6186450.0	8.5	39.189999999999998	03-09-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	28.760000000000002	03-09-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	42.880000000000003	03-09-2000		102.873_1
102.725_1	472919.12	6184930.64	87.5	43.399999999999999	03-09-2000		102.725_1
96.1979_1	521746.43	6201709.3	13.95	65.500000000000000	03-10-2000		96.1979_1
96.1976_2	520021.31	6202031.22	17.93	66.340000000000003	03-10-2000		96.1976_2
96.1975_2	518908.65	6202744.71	31.96	63.240000000000002	03-10-2000		96.1975_2
95.2490_4	503471.0	6209536.0	10.0	43.310000000000002	03-10-2000		95.2490_4
95.2490_3	503471.0	6209536.0	26.5	43.189999999999998	03-10-2000		95.2490_3
95.2490_2	503471.0	6209536.0	52.0	43.840000000000003	03-10-2000		95.2490_2
95.2490_1	503471.0	6209536.0	61.5	43.850000000000001	03-10-2000		95.2490_1
95.2489_1	503856.0	6209597.0	6.0	43.479999999999997	03-10-2000		95.2489_1
95.2488_1	503565.0	6209513.0	7.5	42.500000000000000	03-10-2000		95.2488_1
95.2442_1	503501.0	6208849.0	12.8	42.399999999999999	03-10-2000		95.2442_1
95.2441_1	503338.0	6209125.0	12.5	43.320000000000000	03-10-2000		95.2441_1
95.2440_1	503232.0	6209406.0	13.4	41.990000000000002	03-10-2000		95.2440_1
95.2439_1	503319.0	6209576.0	12.3	43.250000000000000	03-10-2000		95.2439_1
95.2265_1	503469.0	6209535.0	14.5	42.539999999999999	03-10-2000		95.2265_1
95.1919_2	509767.25	6210913.08	6.5	61.939999999999998	03-10-2000		95.1919_2
