Name,DataTypeCode,NewPlot,X,Y,Depth,UseObsdata,dfs0file name,dfs0ItemNumber
113.111_1,101,1,488011.00,6181004.00,21.50,1,..\..\MapsDK\Hdata\113.111_1,1
114.1618_6,101,1,498159.59,6180672.07,2.50,1,..\..\MapsDK\Hdata\114.1618_6,1
114.1631_1,101,1,503115.00,6181106.00,6.70,1,..\..\MapsDK\Hdata\114.1631_1,1
55.1082_1,101,1,496571.81,6274490.90,13.00,1,..\..\MapsDK\Hdata\55.1082_1,1
56.669_1,101,1,525772.58,6260722.77,40.00,1,..\..\MapsDK\Hdata\56.669_1,1
56.780_1,101,1,525577.81,6261833.68,94.00,1,..\..\MapsDK\Hdata\56.780_1,1
56.891_1,101,1,524663.00,6260746.00,73.50,1,..\..\MapsDK\Hdata\56.891_1,1
56.891_2,101,1,524663.00,6260746.00,64.50,1,..\..\MapsDK\Hdata\56.891_2,1
56.894_1,101,1,524663.00,6260746.00,33.50,1,..\..\MapsDK\Hdata\56.894_1,1
56.894_2,101,1,524663.00,6260746.00,26.50,1,..\..\MapsDK\Hdata\56.894_2,1
57.469_1,101,1,528951.00,6260351.00,52.00,1,..\..\MapsDK\Hdata\57.469_1,1
59.440_1,101,1,568290.82,6270139.73,106.00,1,..\..\MapsDK\Hdata\59.440_1,1
64.1248_3,101,1,474606.00,6252914.00,71.50,1,..\..\MapsDK\Hdata\64.1248_3,1
64.1248_4,101,1,474606.00,6252914.00,24.50,1,..\..\MapsDK\Hdata\64.1248_4,1
65.1171_3,101,1,499446.35,6248830.90,28.50,1,..\..\MapsDK\Hdata\65.1171_3,1
65.1171_4,101,1,499446.35,6248830.90,16.50,1,..\..\MapsDK\Hdata\65.1171_4,1
65.1643_1,101,1,506505.49,6246951.63,122.50,1,..\..\MapsDK\Hdata\65.1643_1,1
65.1643_2,101,1,506505.49,6246951.63,82.00,1,..\..\MapsDK\Hdata\65.1643_2,1
65.1643_3,101,1,506505.49,6246951.63,42.00,1,..\..\MapsDK\Hdata\65.1643_3,1
65.604_1,101,1,501038.00,6245376.00,7.30,1,..\..\MapsDK\Hdata\65.604_1,1
65.614_1,101,1,500025.00,6249053.00,5.10,1,..\..\MapsDK\Hdata\65.614_1,1
66.1087_1,101,1,511749.87,6245611.96,37.50,1,..\..\MapsDK\Hdata\66.1087_1,1
66.1087_2,101,1,511749.87,6245611.96,30.00,1,..\..\MapsDK\Hdata\66.1087_2,1
66.1118_1,101,1,515220.00,6245011.00,20.00,1,..\..\MapsDK\Hdata\66.1118_1,1
66.1167_1,101,1,514496.00,6246811.00,13.10,1,..\..\MapsDK\Hdata\66.1167_1,1
66.1247_1,101,1,515404.00,6245299.00,25.80,1,..\..\MapsDK\Hdata\66.1247_1,1
66.1298_1,101,1,522996.00,6245673.00,20.50,1,..\..\MapsDK\Hdata\66.1298_1,1
66.1317_1,101,1,519591.00,6249988.00,64.00,1,..\..\MapsDK\Hdata\66.1317_1,1
66.1443_1,101,1,526308.00,6253922.00,77.00,1,..\..\MapsDK\Hdata\66.1443_1,1
66.1467_1,101,1,526876.00,6253295.00,78.00,1,..\..\MapsDK\Hdata\66.1467_1,1
66.1507_1,101,1,512121.08,6245828.81,30.65,1,..\..\MapsDK\Hdata\66.1507_1,1
66.1507_2,101,1,512121.08,6245828.81,29.05,1,..\..\MapsDK\Hdata\66.1507_2,1
66.1512_1,101,1,514151.00,6245423.00,33.45,1,..\..\MapsDK\Hdata\66.1512_1,1
66.1514_1,101,1,511566.00,6245683.00,28.35,1,..\..\MapsDK\Hdata\66.1514_1,1
66.1515_1,101,1,510956.00,6245439.00,28.35,1,..\..\MapsDK\Hdata\66.1515_1,1
66.1571_1,101,1,525104.00,6259991.00,13.00,1,..\..\MapsDK\Hdata\66.1571_1,1
66.1571_2,101,1,525104.00,6259991.00,9.00,1,..\..\MapsDK\Hdata\66.1571_2,1
66.1677_1,101,1,518187.00,6245927.00,42.00,1,..\..\MapsDK\Hdata\66.1677_1,1
66.1994_1,101,1,515987.00,6246209.00,42.00,1,..\..\MapsDK\Hdata\66.1994_1,1
66.2071_1,101,1,526449.55,6249427.70,16.50,1,..\..\MapsDK\Hdata\66.2071_1,1
66.230_1,101,1,524284.93,6256124.80,22.25,1,..\..\MapsDK\Hdata\66.230_1,1
66.738_1,101,1,512872.00,6244929.00,17.80,1,..\..\MapsDK\Hdata\66.738_1,1
67.503_1,101,1,537244.39,6249478.15,38.00,1,..\..\MapsDK\Hdata\67.503_1,1
68.10_1,101,1,563716.00,6257860.00,71.80,1,..\..\MapsDK\Hdata\68.10_1,1
68.4K_1,101,1,563872.03,6257433.58,81.00,1,..\..\MapsDK\Hdata\68.4K_1,1
68.604_1,101,1,561037.00,6259862.00,27.00,1,..\..\MapsDK\Hdata\68.604_1,1
69.185_1,101,1,572422.00,6260596.00,81.00,1,..\..\MapsDK\Hdata\69.185_1,1
69.186_1,101,1,572578.00,6260567.00,80.00,1,..\..\MapsDK\Hdata\69.186_1,1
69.207_1,101,1,572300.00,6260615.00,80.00,1,..\..\MapsDK\Hdata\69.207_1,1
69.299_1,101,1,568622.93,6256024.85,33.00,1,..\..\MapsDK\Hdata\69.299_1,1
69.300_1,101,1,568620.77,6256025.40,97.00,1,..\..\MapsDK\Hdata\69.300_1,1
69.303_1,101,1,569058.30,6254751.33,77.00,1,..\..\MapsDK\Hdata\69.303_1,1
69.304_1,101,1,569059.92,6254750.62,25.50,1,..\..\MapsDK\Hdata\69.304_1,1
69.661_1,101,1,571581.99,6253526.09,7.70,1,..\..\MapsDK\Hdata\69.661_1,1
70.253_1,101,1,591966.34,6254250.15,35.50,1,..\..\MapsDK\Hdata\70.253_1,1
71.379_1,101,1,613187.00,6247895.00,31.50,1,..\..\MapsDK\Hdata\71.379_1,1
71.397_3,101,1,611107.90,6255050.45,57.00,1,..\..\MapsDK\Hdata\71.397_3,1
71.483_1,101,1,612873.28,6247535.85,67.51,1,..\..\MapsDK\Hdata\71.483_1,1
71.483_2,101,1,612873.28,6247535.85,21.00,1,..\..\MapsDK\Hdata\71.483_2,1
71.522_1,101,1,610177.61,6259079.84,57.00,1,..\..\MapsDK\Hdata\71.522_1,1
71.770_1,101,1,607931.61,6260548.07,51.50,1,..\..\MapsDK\Hdata\71.770_1,1
71.962_1,101,1,612883.00,6247489.00,40.50,1,..\..\MapsDK\Hdata\71.962_1,1
73.811_4,101,1,453845.66,6230940.40,36.70,1,..\..\MapsDK\Hdata\73.811_4,1
74.1140_1,101,1,472942.52,6232925.26,183.50,1,..\..\MapsDK\Hdata\74.1140_1,1
74.1140_2,101,1,472942.52,6232925.26,127.00,1,..\..\MapsDK\Hdata\74.1140_2,1
74.1140_3,101,1,472942.52,6232925.26,31.50,1,..\..\MapsDK\Hdata\74.1140_3,1
74.1158_1,101,1,474519.78,6230133.97,197.50,1,..\..\MapsDK\Hdata\74.1158_1,1
74.1158_2,101,1,474519.78,6230133.97,131.00,1,..\..\MapsDK\Hdata\74.1158_2,1
74.1158_3,101,1,474519.78,6230133.97,48.00,1,..\..\MapsDK\Hdata\74.1158_3,1
74.1158_4,101,1,474519.78,6230133.97,20.00,1,..\..\MapsDK\Hdata\74.1158_4,1
74.170_1,101,1,487947.32,6232864.82,22.00,1,..\..\MapsDK\Hdata\74.170_1,1
74.170_2,101,1,487947.32,6232864.82,3.00,1,..\..\MapsDK\Hdata\74.170_2,1
74.829_1,101,1,481559.00,6240088.00,12.12,1,..\..\MapsDK\Hdata\74.829_1,1
75.1185_1,101,1,509468.43,6243739.82,49.50,1,..\..\MapsDK\Hdata\75.1185_1,1
75.1284_1,101,1,509576.44,6244568.25,8.90,1,..\..\MapsDK\Hdata\75.1284_1,1
75.691_1,101,1,509624.00,6240210.00,6.00,1,..\..\MapsDK\Hdata\75.691_1,1
75.714_1,101,1,506895.00,6238665.86,9.30,1,..\..\MapsDK\Hdata\75.714_1,1
76.1033_1,101,1,514091.00,6244088.00,19.80,1,..\..\MapsDK\Hdata\76.1033_1,1
76.1048_1,101,1,517443.00,6231698.00,12.50,1,..\..\MapsDK\Hdata\76.1048_1,1
76.1092_1,101,1,512212.00,6244208.00,15.70,1,..\..\MapsDK\Hdata\76.1092_1,1
76.1243_1,101,1,518460.00,6238013.00,26.00,1,..\..\MapsDK\Hdata\76.1243_1,1
76.1335_1,101,1,518789.33,6236381.63,13.30,1,..\..\MapsDK\Hdata\76.1335_1,1
76.1373_1,101,1,514922.80,6244547.30,35.00,1,..\..\MapsDK\Hdata\76.1373_1,1
76.1467_1,101,1,512484.12,6239779.43,34.50,1,..\..\MapsDK\Hdata\76.1467_1,1
76.1497_1,101,1,510346.00,6243932.84,11.75,1,..\..\MapsDK\Hdata\76.1497_1,1
76.1498_1,101,1,510203.00,6243633.00,34.60,1,..\..\MapsDK\Hdata\76.1498_1,1
76.1498_2,101,1,510203.00,6243633.00,23.65,1,..\..\MapsDK\Hdata\76.1498_2,1
76.1498_3,101,1,510203.00,6243633.00,9.95,1,..\..\MapsDK\Hdata\76.1498_3,1
76.1499_1,101,1,510595.00,6243592.82,11.75,1,..\..\MapsDK\Hdata\76.1499_1,1
76.1502_1,101,1,514130.75,6244588.76,30.60,1,..\..\MapsDK\Hdata\76.1502_1,1
76.1502_2,101,1,514130.75,6244588.76,28.30,1,..\..\MapsDK\Hdata\76.1502_2,1
76.1514_1,101,1,510109.00,6244425.00,17.20,1,..\..\MapsDK\Hdata\76.1514_1,1
76.1531_1,101,1,515130.95,6233116.67,28.50,1,..\..\MapsDK\Hdata\76.1531_1,1
76.805_1,101,1,524301.00,6241436.00,25.00,1,..\..\MapsDK\Hdata\76.805_1,1
76.853_1,101,1,517445.00,6231700.00,15.50,1,..\..\MapsDK\Hdata\76.853_1,1
77.1585_1,101,1,531295.16,6234417.68,14.00,1,..\..\MapsDK\Hdata\77.1585_1,1
77.741_1,101,1,538034.00,6241562.00,12.00,1,..\..\MapsDK\Hdata\77.741_1,1
78.1029_1,101,1,565150.00,6231500.00,16.00,1,..\..\MapsDK\Hdata\78.1029_1,1
78.1029_2,101,1,565150.00,6231500.00,2.00,1,..\..\MapsDK\Hdata\78.1029_2,1
78.1060_1,101,1,553900.79,6240142.38,18.50,1,..\..\MapsDK\Hdata\78.1060_1,1
78.429_1,101,1,564691.00,6231716.00,77.78,1,..\..\MapsDK\Hdata\78.429_1,1
78.515_1,101,1,565543.99,6231645.99,36.73,1,..\..\MapsDK\Hdata\78.515_1,1
78.776_1,101,1,565213.01,6232263.00,48.50,1,..\..\MapsDK\Hdata\78.776_1,1
78.779_2,101,1,565212.00,6232262.00,35.50,1,..\..\MapsDK\Hdata\78.779_2,1
78.856_2,101,1,549652.00,6245115.00,141.00,1,..\..\MapsDK\Hdata\78.856_2,1
78.856_3,101,1,549652.00,6245115.00,84.00,1,..\..\MapsDK\Hdata\78.856_3,1
78.859_1,101,1,565719.00,6232123.00,16.95,1,..\..\MapsDK\Hdata\78.859_1,1
78.861_1,101,1,566238.99,6233196.00,19.00,1,..\..\MapsDK\Hdata\78.861_1,1
78.948_1,101,1,564220.99,6231129.01,35.00,1,..\..\MapsDK\Hdata\78.948_1,1
78.948_3,101,1,564220.99,6231129.01,15.50,1,..\..\MapsDK\Hdata\78.948_3,1
78.956_1,101,1,563986.75,6231562.98,5.63,1,..\..\MapsDK\Hdata\78.956_1,1
78.958_1,101,1,564692.60,6231716.10,4.63,1,..\..\MapsDK\Hdata\78.958_1,1
78.959_1,101,1,565580.64,6231658.86,1.30,1,..\..\MapsDK\Hdata\78.959_1,1
78.961_1,101,1,565319.60,6231362.67,4.60,1,..\..\MapsDK\Hdata\78.961_1,1
79.112_1,101,1,568057.00,6235178.00,39.00,1,..\..\MapsDK\Hdata\79.112_1,1
79.1282_1,101,1,567824.04,6235320.99,97.00,1,..\..\MapsDK\Hdata\79.1282_1,1
79.1401_1,101,1,577870.23,6234002.95,69.00,1,..\..\MapsDK\Hdata\79.1401_1,1
79.1437_1,101,1,580248.00,6238416.99,92.00,1,..\..\MapsDK\Hdata\79.1437_1,1
79.1502_1,101,1,580267.00,6238467.00,88.50,1,..\..\MapsDK\Hdata\79.1502_1,1
79.1707_1,101,1,576678.51,6231335.70,3.70,1,..\..\MapsDK\Hdata\79.1707_1,1
79.1708_1,101,1,574876.05,6231112.70,4.60,1,..\..\MapsDK\Hdata\79.1708_1,1
79.1709_1,101,1,577570.12,6232288.04,3.00,1,..\..\MapsDK\Hdata\79.1709_1,1
79.184_1,101,1,572540.95,6233245.03,77.73,1,..\..\MapsDK\Hdata\79.184_1,1
79.186_1,101,1,572559.00,6232657.00,90.06,1,..\..\MapsDK\Hdata\79.186_1,1
79.187_1,101,1,572520.33,6233578.99,100.41,1,..\..\MapsDK\Hdata\79.187_1,1
79.212_1,101,1,572942.54,6233369.44,105.50,1,..\..\MapsDK\Hdata\79.212_1,1
79.366_1,101,1,575278.68,6232971.47,83.70,1,..\..\MapsDK\Hdata\79.366_1,1
79.440_1,101,1,580937.63,6237191.12,43.78,1,..\..\MapsDK\Hdata\79.440_1,1
79.441_1,101,1,575819.82,6233198.86,108.92,1,..\..\MapsDK\Hdata\79.441_1,1
79.442_1,101,1,575258.20,6233111.84,69.30,1,..\..\MapsDK\Hdata\79.442_1,1
79.444_1,101,1,575267.71,6233168.83,83.80,1,..\..\MapsDK\Hdata\79.444_1,1
79.445_1,101,1,572711.87,6233851.19,118.50,1,..\..\MapsDK\Hdata\79.445_1,1
79.446_1,101,1,573010.00,6233765.00,122.50,1,..\..\MapsDK\Hdata\79.446_1,1
79.447_1,101,1,573367.00,6233658.00,88.50,1,..\..\MapsDK\Hdata\79.447_1,1
79.453_1,101,1,573011.00,6233569.00,89.00,1,..\..\MapsDK\Hdata\79.453_1,1
79.588_1,101,1,580977.00,6237243.00,46.00,1,..\..\MapsDK\Hdata\79.588_1,1
79.778_1,101,1,575274.28,6233054.89,94.88,1,..\..\MapsDK\Hdata\79.778_1,1
83.1175_1,101,1,470368.90,6214848.63,72.25,1,..\..\MapsDK\Hdata\83.1175_1,1
83.1202_1,101,1,466915.80,6218247.36,53.00,1,..\..\MapsDK\Hdata\83.1202_1,1
83.1239_1,101,1,455286.12,6214339.67,46.00,1,..\..\MapsDK\Hdata\83.1239_1,1
83.1323_1,101,1,468330.78,6220303.36,61.00,1,..\..\MapsDK\Hdata\83.1323_1,1
83.1442_1,101,1,459084.05,6216781.34,46.00,1,..\..\MapsDK\Hdata\83.1442_1,1
83.1444_1,101,1,463130.11,6219477.01,22.50,1,..\..\MapsDK\Hdata\83.1444_1,1
83.1456_1,101,1,461842.97,6215460.97,64.00,1,..\..\MapsDK\Hdata\83.1456_1,1
83.788_1,101,1,463763.00,6228631.00,17.90,1,..\..\MapsDK\Hdata\83.788_1,1
84.1167_1,101,1,491130.00,6217231.00,5.65,1,..\..\MapsDK\Hdata\84.1167_1,1
85.2452_2,101,1,501601.73,6228607.72,98.00,1,..\..\MapsDK\Hdata\85.2452_2,1
86.1009_3,101,1,523432.00,6218728.00,10.30,1,..\..\MapsDK\Hdata\86.1009_3,1
86.1028_1,101,1,528361.00,6227407.00,97.50,1,..\..\MapsDK\Hdata\86.1028_1,1
86.2056_1,101,1,512022.04,6218296.33,146.00,1,..\..\MapsDK\Hdata\86.2056_1,1
86.2056_2,101,1,512022.04,6218296.33,70.00,1,..\..\MapsDK\Hdata\86.2056_2,1
86.913_1,101,1,519699.00,6223202.00,63.60,1,..\..\MapsDK\Hdata\86.913_1,1
86.913_2,101,1,519699.00,6223202.00,34.50,1,..\..\MapsDK\Hdata\86.913_2,1
87.1505_1,101,1,537773.00,6224851.00,4.90,1,..\..\MapsDK\Hdata\87.1505_1,1
87.1506_1,101,1,537952.00,6224800.00,5.00,1,..\..\MapsDK\Hdata\87.1506_1,1
88.1268_2,101,1,565372.00,6223898.00,54.00,1,..\..\MapsDK\Hdata\88.1268_2,1
88.1346_4,101,1,561148.00,6216411.00,10.00,1,..\..\MapsDK\Hdata\88.1346_4,1
88.1348_3,101,1,560663.00,6228354.00,21.50,1,..\..\MapsDK\Hdata\88.1348_3,1
88.491_1,101,1,564069.00,6226567.00,25.00,1,..\..\MapsDK\Hdata\88.491_1,1
88.507_1,101,1,564341.00,6226510.00,22.62,1,..\..\MapsDK\Hdata\88.507_1,1
88.508_1,101,1,564250.00,6226527.00,24.70,1,..\..\MapsDK\Hdata\88.508_1,1
88.509_1,101,1,564168.38,6226553.10,25.90,1,..\..\MapsDK\Hdata\88.509_1,1
88.541_1,101,1,563624.00,6220576.00,28.95,1,..\..\MapsDK\Hdata\88.541_1,1
88.542_1,101,1,563832.00,6220616.00,24.40,1,..\..\MapsDK\Hdata\88.542_1,1
88.543_1,101,1,566346.00,6221888.00,37.85,1,..\..\MapsDK\Hdata\88.543_1,1
88.572_1,101,1,563938.00,6220525.00,35.35,1,..\..\MapsDK\Hdata\88.572_1,1
88.573_1,101,1,564103.62,6220594.91,37.55,1,..\..\MapsDK\Hdata\88.573_1,1
88.588_1,101,1,566099.00,6223245.00,63.50,1,..\..\MapsDK\Hdata\88.588_1,1
88.591_1,101,1,565618.00,6223115.00,60.00,1,..\..\MapsDK\Hdata\88.591_1,1
88.597_1,101,1,565759.00,6223339.00,39.75,1,..\..\MapsDK\Hdata\88.597_1,1
88.673_1,101,1,563741.00,6220597.00,27.05,1,..\..\MapsDK\Hdata\88.673_1,1
88.674_1,101,1,564164.00,6220605.00,28.00,1,..\..\MapsDK\Hdata\88.674_1,1
88.702_1,101,1,564147.70,6226417.35,25.71,1,..\..\MapsDK\Hdata\88.702_1,1
88.703_1,101,1,564076.00,6226436.00,27.00,1,..\..\MapsDK\Hdata\88.703_1,1
88.704_1,101,1,564203.00,6226403.00,27.70,1,..\..\MapsDK\Hdata\88.704_1,1
88.969_1,101,1,563685.00,6220691.00,31.00,1,..\..\MapsDK\Hdata\88.969_1,1
89.1045_1,101,1,569034.00,6225784.00,17.20,1,..\..\MapsDK\Hdata\89.1045_1,1
89.1053_1,101,1,569379.00,6229913.00,78.25,1,..\..\MapsDK\Hdata\89.1053_1,1
89.1054_1,101,1,568963.00,6230747.00,34.00,1,..\..\MapsDK\Hdata\89.1054_1,1
89.1055_1,101,1,569035.00,6230646.00,33.00,1,..\..\MapsDK\Hdata\89.1055_1,1
89.1196_1,101,1,569501.00,6223094.00,60.00,1,..\..\MapsDK\Hdata\89.1196_1,1
89.1221_1,101,1,569252.00,6230012.00,67.70,1,..\..\MapsDK\Hdata\89.1221_1,1
89.1248_1,101,1,575041.00,6218738.00,18.90,1,..\..\MapsDK\Hdata\89.1248_1,1
89.1249_1,101,1,575025.00,6218808.00,17.80,1,..\..\MapsDK\Hdata\89.1249_1,1
89.1319_1,101,1,577194.87,6230846.34,10.50,1,..\..\MapsDK\Hdata\89.1319_1,1
89.1323_1,101,1,576984.43,6230498.10,20.00,1,..\..\MapsDK\Hdata\89.1323_1,1
89.1324_1,101,1,577185.00,6230842.00,4.00,1,..\..\MapsDK\Hdata\89.1324_1,1
89.1328_1,101,1,576999.00,6230498.00,7.00,1,..\..\MapsDK\Hdata\89.1328_1,1
89.187_1,101,1,569722.00,6222321.00,41.50,1,..\..\MapsDK\Hdata\89.187_1,1
89.1894_1,101,1,577329.90,6230540.38,3.70,1,..\..\MapsDK\Hdata\89.1894_1,1
89.1895_1,101,1,578096.53,6229952.58,6.00,1,..\..\MapsDK\Hdata\89.1895_1,1
89.1896_1,101,1,572837.66,6230144.00,5.20,1,..\..\MapsDK\Hdata\89.1896_1,1
89.1897_1,101,1,579561.47,6229457.83,1.70,1,..\..\MapsDK\Hdata\89.1897_1,1
89.1898_1,101,1,577228.12,6228152.82,3.10,1,..\..\MapsDK\Hdata\89.1898_1,1
89.1899_1,101,1,576673.57,6228796.68,2.10,1,..\..\MapsDK\Hdata\89.1899_1,1
89.1900_1,101,1,577408.23,6228007.87,2.10,1,..\..\MapsDK\Hdata\89.1900_1,1
89.1901_1,101,1,576906.53,6230207.57,3.10,1,..\..\MapsDK\Hdata\89.1901_1,1
89.1902_1,101,1,577629.52,6229640.61,5.80,1,..\..\MapsDK\Hdata\89.1902_1,1
89.1903_1,101,1,578749.14,6229001.25,2.20,1,..\..\MapsDK\Hdata\89.1903_1,1
89.1921_1,101,1,575511.66,6224724.61,3.45,1,..\..\MapsDK\Hdata\89.1921_1,1
89.1922_1,101,1,575141.44,6224356.87,5.50,1,..\..\MapsDK\Hdata\89.1922_1,1
89.1923_1,101,1,574870.88,6224317.02,4.50,1,..\..\MapsDK\Hdata\89.1923_1,1
89.1924_1,101,1,574601.16,6224136.28,3.00,1,..\..\MapsDK\Hdata\89.1924_1,1
89.1925_1,101,1,574219.07,6224284.38,4.50,1,..\..\MapsDK\Hdata\89.1925_1,1
89.1926_1,101,1,573877.52,6223816.31,4.00,1,..\..\MapsDK\Hdata\89.1926_1,1
89.1927_1,101,1,573977.99,6223731.21,3.00,1,..\..\MapsDK\Hdata\89.1927_1,1
89.1928_1,101,1,573405.91,6223756.77,3.00,1,..\..\MapsDK\Hdata\89.1928_1,1
89.1929_1,101,1,573105.12,6223147.39,2.50,1,..\..\MapsDK\Hdata\89.1929_1,1
89.1930_1,101,1,575289.41,6223438.23,2.50,1,..\..\MapsDK\Hdata\89.1930_1,1
89.1931_1,101,1,575140.56,6222912.74,5.00,1,..\..\MapsDK\Hdata\89.1931_1,1
89.1936_1,101,1,575260.58,6224247.32,4.50,1,..\..\MapsDK\Hdata\89.1936_1,1
89.452_1,101,1,569875.87,6229855.71,71.50,1,..\..\MapsDK\Hdata\89.452_1,1
89.461_1,101,1,568919.00,6230561.00,19.20,1,..\..\MapsDK\Hdata\89.461_1,1
89.535_1,101,1,570520.71,6229578.07,53.48,1,..\..\MapsDK\Hdata\89.535_1,1
89.824_1,101,1,569200.00,6229925.00,58.55,1,..\..\MapsDK\Hdata\89.824_1,1
89.825_1,101,1,569267.00,6230015.00,73.46,1,..\..\MapsDK\Hdata\89.825_1,1
89.863_1,101,1,567469.00,6222206.00,91.64,1,..\..\MapsDK\Hdata\89.863_1,1
89.864_1,101,1,567380.01,6222179.99,90.85,1,..\..\MapsDK\Hdata\89.864_1,1
89.978_1,101,1,569951.00,6229939.00,79.95,1,..\..\MapsDK\Hdata\89.978_1,1
91.104_1,101,1,606252.80,6228501.80,61.50,1,..\..\MapsDK\Hdata\91.104_1,1
91.104_2,101,1,606252.80,6228501.80,22.00,1,..\..\MapsDK\Hdata\91.104_2,1
91.18_1,101,1,604832.56,6227832.97,35.00,1,..\..\MapsDK\Hdata\91.18_1,1
